index,word,Word Type,Frequency
1894,드라마,Noun,5
2855,바란다,Verb,5
1306,놓고,Verb,5
6922,퇴장,Noun,5
2890,반겼다,Verb,5
1175,내주며,#N/A,5
5493,입고,Verb,5
1706,돌아,Verb,5
4392,아웃,Noun,5
3070,벌어지는,Verb,5
1721,돌아갈,Verb,5
1453,단련,Verb,5
4021,스털링,#N/A,5
1572,대비,Noun,5
2978,밥솥,Noun,5
5888,제외,Noun,5
1352,느낌이었다,Verb,5
1100,남기고,Verb,5
2019,따뜻하게,Adjective,5
1461,단어,Noun,5
1859,두운,#N/A,5
2939,받지,Verb,5
1170,내심,Noun,5
5203,유망,Noun,5
2985,방식,Noun,5
5258,이겼다,Verb,5
6130,중요했다,Adjective,5
2962,발휘,Noun,5
1711,돌아가는,Verb,5
1883,뒤쪽,Noun,5
1740,돌아오면,Verb,5
801,기자회견,Noun,5
7317,한마디,Noun,5
7561,혼란,Noun,5
6369,차려,Noun,5
6471,찾아왔다,Verb,5
7557,혼났다,Verb,5
6373,차례,Noun,5
786,기세,Noun,5
5384,익숙한,Adjective,5
4819,연승,Noun,5
2380,많아서,#N/A,5
7533,혜영,#N/A,5
2376,만회,Noun,5
